date,location,storage,forecast,stress,rain,evap,future,irrigation,risk,future_storage
2026-03-16,Gauting,76.76,-5.47,LOW,,,,,,
2026-03-16,Waging am See,70.57,-5.5,LOW,,,,,,
2026-03-16,Dettenhausen,31.69,-7.73,MODERATE,,,,,,
2026-03-21,Gauting,59.14999999999999,-1.0399999999999974,LOW,,,,,,
2026-03-21,Waging am See,34.04000000000002,-1.7499999999999982,MODERATE,,,,,,
2026-03-21,Dettenhausen,0.2900000000000133,-2.599999999999998,HIGH,,,,,,
2026-03-22,Gauting,43.6,-1.0199999999999978,LOW,,,,,,
2026-03-22,Waging am See,30.250000000000007,2.910000000000002,MODERATE,,,,,,
2026-03-22,Dettenhausen,-4.719999999999999,-6.49,SEVERE,,,,,,
2026-03-23,Gauting,35.97,4.57,LOW,,,,,,
2026-03-23,Waging am See,24.26,35.440000000000005,LOW,,,,,,
2026-03-23,Dettenhausen,-6.859999999999999,0.6000000000000014,HIGH,,,,,,
2026-03-24,Gauting,20.620000000000005,4.660000000000002,MODERATE,,,,,,
2026-03-24,Waging am See,4.770000000000024,13.1,MODERATE,,,,,,
2026-03-24,Dettenhausen,-19.4,4.15,SEVERE,,,,,,
2026-03-25,Gauting,15.729999999999997,20.39,MODERATE,,,,,,
2026-03-25,Waging am See,-2.249999999999986,27.480000000000004,MODERATE,,,,,,
2026-03-25,Dettenhausen,-21.78,24.19,HIGH,,,,,,
2026-03-26,Gauting,10.699999999999996,17.91,MODERATE,,,,,,
2026-03-26,Waging am See,-8.119999999999983,45.03,MODERATE,,,,,,
2026-03-26,Dettenhausen,-20.28,10.81,HIGH,,,,,,
2026-03-27,Gauting,13.01,,,,,,47.0,NOW,28.78
2026-03-27,Waging am See,0.0,,,,,,42.0,NOW,13.83
2026-03-27,Dettenhausen,0.0,,,,,,108.0,NOW,4.56
2026-03-28,Gauting,11.74,,,,,,48.3,NOW,29.0
2026-03-28,Waging am See,0.0,,,,,,42.0,NOW,7.54
2026-03-28,Dettenhausen,0.0,,,,,,108.0,NOW,8.6
